,Date,First Name,Last Name,Street Address,State,Postal Code,Email,Status,Notes,Recruit_id,Trainer_id
0,06/08/2022,Mary,Lingle,5624 Oakes Drive Brentwood ,TN ,37027,Mary.Lingle@gmail.com,Yellow Light,N/A,ae063a5062a8428b1713c0e2be3be1151f9f722b,f6e1126cedebf23e1463aee73f9df08783640400
1,08/24/2022,Luke,Bethel,4981 Shirley Way Livermore ,CA ,94550,Luke.Bethel@gmail.com,Green Light,N/A,d407d53db73910441bc39bdf7ffe742c7b8af06c,bd307a3ec329e10a2cff8fb87480823da114f8f4
2,04/30/2023,Harold,White,129 Lark Lane Farmington ,AR ,72730,Harold.White@gmail.com,Yellow Light,N/A,65cfcf1e7623ee474626cbd0c4b46de731d42f35,cb4e5208b4cd87268b208e49452ed6e89a68e0b8
3,04/01/2022,Ronald,Rodriguez,6047 Cole Court Arvada ,CO ,80004,Ronald.Rodriguez@gmail.com,Yellow Light,N/A,3bd0ef2ed857b2246b19cf3c2c0f546093cd1783,972a67c48192728a34979d9a35164c1295401b71
4,04/30/2021,Ann,Anschutz,6100 Bullard Drive Oakland ,CA ,94611,Ann.Anschutz@gmail.com,Yellow Light,N/A,c17ca31ec9c800a567cb8edf0e0d21949c782b13,22d200f8670dbdb3e253a90eee5098477c95c23d
5,11/20/2021,Debra,Looney,43949 South Moray Street Fremont ,CA ,94539,Debra.Looney@gmail.com,Green Light,N/A,6924ac5f9162db1ccbdeeaa5317a5f269e33cf43,fc074d501302eb2b93e2554793fcaf50b3bf7291
6,05/05/2022,Mary,Gordon,702 Farragut Street Northwest Washington ,DC ,20011,Mary.Gordon@gmail.com,Red Light,N/A,ba516b4edf9f576e317c5e26210e73e9c5ca3451,761f22b2c1593d0bb87e0b606f990ba4974706de
7,04/13/2021,Ashely,Griffeth,36360 Beech Place Newark ,CA ,94560,Ashely.Griffeth@gmail.com,Yellow Light,N/A,b922c2a21d510355869980b16aa5f97f7344a027,f1abd670358e036c31296e66b3b66c382ac00812
8,12/22/2020,Josiah,Lee,50 Winthrop Avenue Lawrence ,MA ,01843,Josiah.Lee@gmail.com,Green Light,N/A,2bdc69dc93fb23ccf75134cac5dfe011a597aa02,0286dd552c9bea9a69ecb3759e7b94777635514b
9,11/27/2021,Joyce,Easter,276 Adams Street Quincy ,MA ,02169,Joyce.Easter@gmail.com,Red Light,N/A,2cdcba9ff880234b1a2c7a49686005e97925f317,98fbc42faedc02492397cb5962ea3a3ffc0a9243
