,First Name,Last Name,Street Address,State,Postal Code,Email,Status,Recruit_id
0,Mary,Lingle,5624 Oakes Drive Brentwood ,TN ,37027,Mary.Lingle@gmail.com,Yellow Light,ae063a5062a8428b1713c0e2be3be1151f9f722b
1,Luke,Bethel,4981 Shirley Way Livermore ,CA ,94550,Luke.Bethel@gmail.com,Green Light,d407d53db73910441bc39bdf7ffe742c7b8af06c
2,Harold,White,129 Lark Lane Farmington ,AR ,72730,Harold.White@gmail.com,Yellow Light,65cfcf1e7623ee474626cbd0c4b46de731d42f35
3,Ronald,Rodriguez,6047 Cole Court Arvada ,CO ,80004,Ronald.Rodriguez@gmail.com,Yellow Light,3bd0ef2ed857b2246b19cf3c2c0f546093cd1783
4,Ann,Anschutz,6100 Bullard Drive Oakland ,CA ,94611,Ann.Anschutz@gmail.com,Yellow Light,c17ca31ec9c800a567cb8edf0e0d21949c782b13
5,Debra,Looney,43949 South Moray Street Fremont ,CA ,94539,Debra.Looney@gmail.com,Green Light,6924ac5f9162db1ccbdeeaa5317a5f269e33cf43
6,Mary,Gordon,702 Farragut Street Northwest Washington ,DC ,20011,Mary.Gordon@gmail.com,Red Light,ba516b4edf9f576e317c5e26210e73e9c5ca3451
7,Ashely,Griffeth,36360 Beech Place Newark ,CA ,94560,Ashely.Griffeth@gmail.com,Yellow Light,b922c2a21d510355869980b16aa5f97f7344a027
8,Josiah,Lee,50 Winthrop Avenue Lawrence ,MA ,01843,Josiah.Lee@gmail.com,Green Light,2bdc69dc93fb23ccf75134cac5dfe011a597aa02
9,Joyce,Easter,276 Adams Street Quincy ,MA ,02169,Joyce.Easter@gmail.com,Red Light,2cdcba9ff880234b1a2c7a49686005e97925f317
10,Barbara,Upton,7841 North 59th Lane Glendale ,AZ ,85301,Barbara.Upton@gmail.com,Yellow Light,67ee0f71ab70bfdba17062a52a133f08283235fd
11,Patrice,Murphy,962 South Silverado Drive Fayetteville ,AR ,72701,Patrice.Murphy@gmail.com,Green Light,ccfdffbf311adabdb7af80b7e4bc4c11681c7a77
12,David,Robinson,22 Star Farms Drive Manchester ,CT ,06040,David.Robinson@gmail.com,Green Light,95a5f6147fef97ad3765429dd84dc720ca72855c
13,Dolores,Baker,565 North Lakeshore Drive Panama City Beach ,FL ,32413,Dolores.Baker@gmail.com,Yellow Light,2dd046317bedcaef19137c517f3e418668e0c871
